Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
participant_id,screening,,text,Participant ID,,,,,,,,,,,,,
screen_date,screening,,text,Date of Screening,,,date_mdy,,,,,,,,,,
p_name,screening,Participant Team Information,text,Patient Name,,,,,,y,,,,,,,
c_name,screening,,text,Caregiver Name,,,,,,y,,,,,,,
email,screening,,notes,E-mail addresses,,,,,,y,,,,,,,
p_phone,screening,,text,Phone Number,,,,,,y,,,,,,,
p_home,screening,,notes,Patient Home Address,,,,,,y,,,,,,,
ell_age,screening,"Eligibility (must answer ""Yes"" to all to proceed further with study)",yesno,Is the patient 18 or older?,,,,,,y,,,,,,,
ell_func,screening,,yesno,"Does the patient have limitations in their capacity for useful speech, upper extremity function, or both?",,,,,,y,,,,,,,
ell_caregiver,screening,,yesno,Is there a caregiver available to be part of the participant team?,,,,,,,,,,,,,
ell_illness,screening,,yesno,Are there NO co-existing neurological or psychiatric illnesses?,,,,,,y,,,,,,,
ell_life,screening,,yesno,Is life expectancy greater than 6 months?,,,,,,y,,,,,,,
screen_t_time,screening,Participant Team,radio,Can commit time required for study,"1, Yes | 2, No",,,,,,,,,,screen_team,,
screen_t_home,screening,,radio,Will allow in home,"1, Yes | 2, No",,,,,,,,,,screen_team,,
screen_t_internet,screening,,radio,Have sufficient internet access,"1, Yes | 2, No",,,,,,,,,,screen_team,,
screen_upload,screening,,text,Upload Speed (Mbps),,,,,,,,,,,,,
screen_download,screening,,text,Download Speed (Mbps),,,,,,,,,,,,,
screen_p_cap,screening,Patient,radio,Able to wear cap,"1, Yes | 2, No",,,,,,,,,,screen_patient,,
screen_p_allergy,screening,,radio,No allergies to lotions or gels,"1, Yes | 2, No",,,,,,,,,,screen_patient,,
screen_p_cuts,screening,,radio,"No cuts, sores, or infections","1, Yes | 2, No",,,,,,,,,,screen_patient,,
screen_c_cap,screening,Caregiver,radio,Able to apply cap,"1, Yes | 2, No",,,,,,,,,,screen_caregiver,,
screen_c_computer,screening,,radio,Able to operate computer,"1, Yes | 2, No",,,,,,,,,,screen_caregiver,,
eligible,screening,Scheduling,calc,Team Eligible to Participate,"if([ell_age]=1 && [ell_func]=1 && [ell_caregiver]=1 && [ell_illness]=1 && [ell_life]=1 && [screen_t_time]=1 && [screen_t_home]=1 && [screen_t_internet]=1 && [screen_p_cap]=1 && [screen_p_allergy]=1 && [screen_p_cuts]=1 && [screen_c_cap]=1 && [screen_c_computer]=1,1,0)",,,,,,,,,,,,
date_firstvisit,screening,,text,Date scheduled for first home visit,,,datetime_mdy,,,,[eligible] = '1',,,,,,
eq_laptop,equipment_inventory,List all equipment used,yesno,Laptop with Charger,,,,,,,,,,,,,
eq_laptop_num,equipment_inventory,,text,Inventory Number,,,,,,,[eq_laptop] = '1',,,,,,
ed_laptop_out,equipment_inventory,,text,Date Loaned,,,date_mdy,,,,[eq_laptop] = '1',,,,,,
